masv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
48A04A83XPvAibaEXe/btl79MArZLFL2n5EIoIeK,THPT,28,,,
0821621DXPvAibaEXe/btl79MArZLF7Vr4ovU5Xz,THPT,25,,,
7FCDDD97XPvAibaEXe/btl79MArZLHZ91Yi5oI81,THPT,27,,,
C98089F5XPvAibaEXe/btl79MArZLGI79GtRPJ29,THPT,29.5,,,
FD2CE95BXPvAibaEXe/btl79MArZLJR3+hujllk+,THPT,26,,,
46A9E223XPvAibaEXe/btl79MArZLMHcwprgH6DR,THPT,26,,,
E7748004XPvAibaEXe/btl79MArZLOOaYoVFdLPX,THPT,27,,,
89932DAAXPvAibaEXe/btl79MArZLN7yPSn1jOUl,THPT,28,,,
F635B066XPvAibaEXe9whL/t4cdMZarf+smrnY0M,THPT,27.5,,,
7E990C2EXPvAibaEXe9whL/t4cdMZaqMM5bdJCOS,THPT,28.5,,,
BF3B1745XPvAibaEXe9whL/t4cdMZUa+NDp0/6Wm,THPT,31.5,,,
35D25A89XPvAibaEXe9whL/t4cdMZdfJ9+A81yy6,THPT,25.5,,,
2AF5E003XPvAibaEXe9whL/t4cdMZVXaYO97LUGt,THPT,30,,,
04D98A42XPvAibaEXe9whL/t4cdMZYa7qJs9tdR2,THPT,29,,,
C5A8251BXPvAibaEXe9whL/t4cdMZdkv8Y98YyOc,THPT,29,,,
FACF1CAEXPvAibaEXe9whL/t4cdMZRCbbP9BGkBZ,THPT,26.5,,,
7104B8EFXPvAibaEXe9whL/t4cdMZSClckde1FQ9,THPT,25.5,,,
FAEB3C22XPvAibaEXe9whL/t4cdMZRtbzH2grKwD,THPT,27,,,
3E3E10CBXPvAibaEXe/VTtmkh7JuOsTWNwfZU88X,THPT,24,,,
4C3F97F3XPvAibaEXe/VTtmkh7JuOmyvQ3eamH4/,THPT,30.5,,,
F83B670CXPvAibaEXe/VTtmkh7JuOu4OH5LEfQE8,THPT,26.5,,,
432F941DXPvAibaEXe/VTtmkh7JuOv3H/gtqL4cw,THPT,29.5,,,
5B7BA676XPvAibaEXe/VTtmkh7JuOi+CBDCf2oyM,THPT,28,,,
668068E2XPvAibaEXe/VTtmkh7JuOkFzkUL+030E,THPT,25.5,,,
EDEFA091XPvAibaEXe/VTtmkh7JuOjrC0zlUF0P7,THPT,26.5,,,
C4A25FD9XPvAibaEXe/VTtmkh7JuOu9brTgWI9JZ,THPT,29,,,
B3749B88XPvAibaEXe/VTtmkh7JuOuby0kWV9To2,THPT,25.5,,,
C41169F1XPvAibaEXe9V1gtTDRnQF9kTkEvGMi6j,THPT,27.5,,,
AFFA55FFXPvAibaEXe9V1gtTDRnQF6mkVgcyjUy9,THPT,29.5,,,
24CD5E5EXPvAibaEXe9V1gtTDRnQFyTR/23YQTUv,THPT,27.5,,,
204D6AB9XPvAibaEXe9V1gtTDRnQFwJTG99TdLXu,THPT,31,,,
20898D54XPvAibaEXe9V1gtTDRnQF+sW2Hlc0Ngw,THPT,30.5,,,
97FCE6F5XPvAibaEXe9V1gtTDRnQF3lm8GkhzCAa,THPT,28,,,
A02AA556XPvAibaEXe9V1gtTDRnQF0gPFVjNl7re,THPT,27,,,
53F24D56XPvAibaEXe9V1gtTDRnQF0W4EkFRmiTX,THPT,26,,,
E9D6C723XPvAibaEXe9V1gtTDRnQF3no6iq1vTp8,THPT,25.5,,,
2E94A288XPvAibaEXe9V1gtTDRnQF5UgykIcVYUO,THPT,27.5,,,
91090A58XPvAibaEXe/twRH8x8eyg72wDhVxBSqI,THPT,27,,,
BDED1BB4XPvAibaEXe/twRH8x8eygxZIxnZvl+Py,THPT,27,,,
737A4598XPvAibaEXe/twRH8x8eyg9NP+gV3QShj,THPT,26.5,,,
16272517XPvAibaEXe/twRH8x8eyg2tiyMsTM1XC,THPT,28,,,
37CE7EACXPvAibaEXe/twRH8x8eygyut+9l3hXDU,THPT,29,,,
5CBACBDDXPvAibaEXe/twRH8x8eyg4WxnKka4DP5,THPT,26,,,
1BC8D47BXPvAibaEXe/twRH8x8eyg8YVoHU/MefP,THPT,28,,,
668A7C0EXPvAibaEXe/twRH8x8eygzacDsTzn1yF,THPT,28.5,,,
DBF2BD1EXPvAibaEXe97q47CdxnNZIrla2EqCa3q,THPT,24.5,,,
E0F1156DXPvAibaEXe97q47CdxnNZFWNRv69aCsk,THPT,28,,,
67D044F2XPvAibaEXe97q47CdxnNZACAWtvSi+eR,THPT,28,,,
262628CCXPvAibaEXe97q47CdxnNZIi4AOvaSLHr,THPT,28,,,
4356F370XPvAibaEXe97q47CdxnNZIq8I4lUO3ic,THPT,29,,,
9BA80A7AXPvAibaEXe97q47CdxnNZI2fsmJFg5Q1,THPT,26,,,
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,THPT,27.5,,,
8F374F21XPvAibaEXe97q47CdxnNZHHRFsPvYKWD,THPT,26.5,,,
4CF4D526XPvAibaEXe97q47CdxnNZGqx1X96feAw,THPT,27.5,,,
F24AAC52XPvAibaEXe/nRR7q+hWy3BFkcWNQMe85,THPT,31,,,
2A7EF77DXPvAibaEXe/nRR7q+hWy3NoZTBjSr5/Z,THPT,23,,,
C2A4C64FXPvAibaEXe/nRR7q+hWy3OGsz3jlcNjw,THPT,25.5,,,
B03D2622XPvAibaEXe/nRR7q+hWy3B7LsqApcm/p,THPT,28,,,
DA9AEA01XPvAibaEXe/nRR7q+hWy3N66SVCIyHcP,THPT,25.5,,,
9376DE75XPvAibaEXe/nRR7q+hWy3HVGrVsAi4F7,THPT,27,,,
8724B09CXPvAibaEXe/nRR7q+hWy3LGGAca76MRg,THPT,26.5,,,
3C303D57XPvAibaEXe/nRR7q+hWy3Opqpurh7Okn,THPT,26,,,
B429BDF4XPvAibaEXe/nRR7q+hWy3ADzRTkGoeeE,THPT,24.5,,,
71BC010DXPvAibaEXe+tg0ae8qw/gtY2BN7e6Qx5,THPT,27.5,,,
F648791BXPvAibaEXe+tg0ae8qw/gkKq0zjCQSnC,THPT,27,,,
562EAF54XPvAibaEXe+tg0ae8qw/gpvIjQ2ax2XP,THPT,25,,,
65FDEF74XPvAibaEXe+tg0ae8qw/gghq0yx/iAFL,THPT,29,,,
17284407XPvAibaEXe+tg0ae8qw/gu8mbQ9Gdz1t,THPT,28.5,,,
65A8CE1EXPvAibaEXe+tg0ae8qw/gqDz/d+/K6ii,THPT,26.5,,,
0A8562CBXPvAibaEXe+tg0ae8qw/gj/c8Ef51TLi,THPT,29,,,
C5F2150DXPvAibaEXe+tg0ae8qw/gtk+nFTaazYq,CUTUYEN,,,,
39CFA80DXPvAibaEXe+tg0ae8qw/giuc2CTRAuM8,THPT,27,,,
19B4EB0FXPvAibaEXe+pDN88/1DR4JOjz3aukUSu,THPT,25,,,
F1AE6A7DXPvAibaEXe+pDN88/1DR4GQG2cn+o/MP,THPT,26,,,
D368677CXPvAibaEXe+pDN88/1DR4Fvc8euLv+LV,THPT,26,,,
692758D6XPvAibaEXe+pDN88/1DR4FhgbLqyi+BX,THPT,27.5,,,
50B2DD22XPvAibaEXe+pDN88/1DR4Nnc7Q9fHda/,THPT,25,,,
CEED36D2XPvAibaEXe+pDN88/1DR4NEg8ByB/lIf,THPT,26,,,
374C2F02XPvAibaEXe+pDN88/1DR4BRDEcLb86g4,THPT,27.5,,,
98857340XPvAibaEXe+pDN88/1DR4IgAxOQlHkuX,THPT,27.5,,,
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,THPT,30,,,
DB5FE1BCXPvAibaEXe+pDN88/1DR4PKidTMibtkC,THPT,28,,,
D1D67E75XPvAibaEXe+9lRniSKKSh0Lm7G6fv1DD,THPT,33.5,,,
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,THPT,25,,,
49E481D0XPvAibaEXe+9lRniSKKSh21VPY4X7Riy,THPT,26.5,,,
92262318XPvAibaEXe+9lRniSKKSh+83KZVVG9TN,THPT,26,,,
FA31ECC1XPvAibaEXe+9lRniSKKSh81rMASDh/WN,THPT,35,,,
97167D07XPvAibaEXe+9lRniSKKSh0+G+L2eG1v/,THPT,25,,,
6E5F651EXPvAibaEXe+9lRniSKKSh38UocJy0doH,THPT,33,,,
FF061276XPvAibaEXe+9lRniSKKSh22eA1ofKxvk,THPT,25.5,,,
2D287CDCXPvAibaEXe9x0CaUg4pZo6kJgN24TUWz,THPT,34.5,,,
EF902C02XPvAibaEXe9x0CaUg4pZozXRa04bbO7k,THPT,25.5,,,
635B9F1CXPvAibaEXe9x0CaUg4pZoxMVvEAX3gFK,THPT,27,,,
CC8ED1C2XPvAibaEXe9x0CaUg4pZo9/HVzJrxtyW,THPT,29.5,,,
2A8A1E92XPvAibaEXe9x0CaUg4pZoxy78IQ6wez6,THPT,27.5,,,
F84EA6D4XPvAibaEXe9x0CaUg4pZo6iZ992aNnk9,THPT,25,,,
B527F688XPvAibaEXe9U/K5zYZONT1/SQtZRNrnP,THPT,24.5,,,
52EB6D4CXPvAibaEXe9U/K5zYZONTyWmoV+cJgnr,THPT,28.5,,,
9A40471FXPvAibaEXe9U/K5zYZONT/7/ulRYKDkS,THPT,25.5,,,
7E7FC55FXPvAibaEXe9U/K5zYZONT8yhxXQNvJ6O,THPT,26,,,
F96815B9XPvAibaEXe9U/K5zYZONT+OhfU5RocjN,THPT,25.5,,,
FB9FCB31XPvAibaEXe9U/K5zYZONT/ejExcqpsve,THPT,30.5,,,
A65738B9XPvAibaEXe9U/K5zYZONT7oYmwa/1iSH,THPT,30.5,,,
0E78BDE9XPvAibaEXe9U/K5zYZONT1sJ1bWJmpI3,THPT,24.5,,,
B317054CXPvAibaEXe9U/K5zYZONTxRPhI21glyL,THPT,29,,,
6A0E3807XPvAibaEXe/H1VZJBzJAwtB2TbvuX3AM,THPT,28.5,,,
CB052F9FXPvAibaEXe/H1VZJBzJAwl6qZyOKGipp,THPT,27,,,
E5B910BDXPvAibaEXe/H1VZJBzJAwkG5vgo/54/z,THPT,27.5,,,
2513B9B7XPvAibaEXe/H1VZJBzJAwifmbhyzDhpm,THPT,30,,,
0238C60FXPvAibaEXe/H1VZJBzJAwvbgak7AXdRX,THPT,28.5,,,
B47BC5E8XPvAibaEXe/H1VZJBzJAwmY5aGwFIvk2,THPT,26.5,,,
46C2D16EXPvAibaEXe/H1VZJBzJAwpOtKHNjTR3t,THPT,24.5,,,
59078061XPvAibaEXe9tdh69VvZt1+Ti0cTWxX8h,THPT,33,,,
BBD2B285XPvAibaEXe9tdh69VvZt15WPDmCtI9r8,THPT,29.5,,,
D6DA2754XPvAibaEXe9tdh69VvZt14BfENMelpA0,THPT,28,,,
2E04DBD2XPvAibaEXe9tdh69VvZt1ySnCfGdLRM0,THPT,25,,,
3EB5AE2EXPvAibaEXe9tdh69VvZt18HVVZTcemA7,THPT,26,,,
33E3BB55XPvAibaEXe9tdh69VvZt12g2hc9O6G1C,THPT,25.5,,,
0EF77F10XPvAibaEXe9tdh69VvZt16omW3PdhUpG,THPT,26.5,,,
C487ABC7XPvAibaEXe9tdh69VvZt12fRzaFDX/GE,THPT,30,,,
D7DF9F37XPvAibaEXe9tdh69VvZt11DfSs5C1fSb,THPT,28,,,
78197060XPvAibaEXe8z1Io4iT8HJAasAJhEQ1cn,THPT,26,,,
DD4D463BXPvAibaEXe8z1Io4iT8HJN81OFLkmXl/,THPT,32,,,
DCD60A58XPvAibaEXe8z1Io4iT8HJKL7T0ucJp6N,THPT,29,,,
F4B8103BXPvAibaEXe8z1Io4iT8HJCohN5KW9D8+,THPT,25,,,
82A17B12XPvAibaEXe8z1Io4iT8HJDOTLLnsB1Kj,THPT,27.5,,,
2E8DCF6CXPvAibaEXe8z1Io4iT8HJHYVP7dsY6fm,THPT,27,,,
3BA2001AXPvAibaEXe8z1Io4iT8HJMGETGEwyWJt,THPT,26,,,
E3F3FD6DXPvAibaEXe8z1Io4iT8HJIqsyxTD1vIz,THPT,27.5,,,
1EB542C5XPvAibaEXe8z1Io4iT8HJAzpqshrGVmf,THPT,26,,,
7823E9EEXPvAibaEXe+ltCXpm838vbH4otiiAQCO,THPT,32.5,,,
F6BA59A9XPvAibaEXe+ltCXpm838vXVsDEnms/8F,THPT,26.5,,,
3855EE8BXPvAibaEXe+ltCXpm838vada+3errwGn,THPT,26.5,,,
629C3839XPvAibaEXe+ltCXpm838vZrRMDX6sAPg,THPT,26,,,
EE31F64CXPvAibaEXe+ltCXpm838vZEuRuasF3Tl,THPT,26.5,,,
87EEA32BXPvAibaEXe+ltCXpm838vQ3A17qI1XOG,THPT,25,,,
8D4A719AXPvAibaEXe+ltCXpm838vbQExhXSrFMN,THPT,27.5,,,
AC17A2EBXPvAibaEXe+ltCXpm838vTWWVUsJrTsd,THPT,27,,,
7FBD0513XPvAibaEXe+ltCXpm838vaXT1ZHB2inA,THPT,25,,,
2A206F37XPvAibaEXe8e/5ryJ9YpuSLV/el+HbgI,THPT,26.5,,,
0615CD35XPvAibaEXe8e/5ryJ9YpueaFgtGttatE,THPT,30.5,,,
5D496A92XPvAibaEXe8e/5ryJ9YpublYeFlN8Tq2,THPT,28,,,
C370E070XPvAibaEXe8e/5ryJ9Ypubqv5t6wIv15,THPT,29.5,,,
65774F58XPvAibaEXe8e/5ryJ9YpuX/hEkT6zPR/,THPT,24.5,,,
7EC1741AXPvAibaEXe8e/5ryJ9YpuXs+8p0EsyRI,THPT,27,,,
5ED5F766XPvAibaEXe8e/5ryJ9YpuRU0i/OZCvL9,THPT,27,,,
33D5DEBDXPvAibaEXe+iXJpjy6UOMANys+inFA/G,THPT,24.5,,,
EE8AAA61XPvAibaEXe+iXJpjy6UOMCQyv6gM3wi9,THPT,28,,,
AE749C00XPvAibaEXe+iXJpjy6UOMCMmEsf/qq+R,THPT,29,,,
1EA1BEE1XPvAibaEXe+iXJpjy6UOMJgg3q9gFJNY,THPT,29,,,
078E6C4EXPvAibaEXe+iXJpjy6UOMKV9AJg2HsFJ,THPT,28,,,
F93A7468XPvAibaEXe+iXJpjy6UOMB0KVfH2qHUk,THPT,32,,,
E7952A34XPvAibaEXe+iXJpjy6UOMJSrnm986PLF,THPT,26,,,
AA2E8E15XPvAibaEXe+iXJpjy6UOMJuKbMz8V7jb,THPT,30,,,
A110AF72XPvAibaEXe+iXJpjy6UOML/4VBh8bWgC,THPT,25,,,
CBEEBF97XPvAibaEXe+iXJpjy6UOMMnkQOMP+y3Q,THPT,29,,,
C4C9FD3CXPvAibaEXe9hSzSdeSAT0u00jNJr1bTh,THPT,25.5,,,
C8F788F8XPvAibaEXe9hSzSdeSAT0pT8Qe3Tkx/w,THPT,26.5,,,
1C304906XPvAibaEXe9hSzSdeSAT0mSwgfXy9PeD,THPT,27.5,,,
34D2366BXPvAibaEXe9hSzSdeSAT0raoFevApL9Y,THPT,29.5,,,
554BEAD4XPvAibaEXe9hSzSdeSAT0nKSX8+l/eSA,THPT,30,,,
872C2CCCXPvAibaEXe9hSzSdeSAT0sYBeBBZTXFV,THPT,28,,,
38A7026DXPvAibaEXe9hSzSdeSAT0oxt8vTYvGic,THPT,33,,,
5F1876D2XPvAibaEXe9hSzSdeSAT0ryA1Nk7p+DJ,THPT,25.5,,,
1650B769XPvAibaEXe8ptkRJyotmH+nH3Jp6kqSX,THPT,29.5,,,
F84A41F0XPvAibaEXe8ptkRJyotmH3EGOlwb84an,THPT,27.5,,,
9BDC190BXPvAibaEXe8ptkRJyotmH1/DXcsBbqtm,THPT,26.5,,,
4A581273XPvAibaEXe8ptkRJyotmHyYiXI6GBtjC,THPT,29,,,
20EB4F78XPvAibaEXe8ptkRJyotmH5BdHlwmnCHg,THPT,29,,,
4785283EXPvAibaEXe8ptkRJyotmH0AxIrbY3Kvy,THPT,30.5,,,
0C1F8D02XPvAibaEXe8ptkRJyotmH4dH0a/L9r2z,THPT,26.5,,,
61F9BD19XPvAibaEXe8ptkRJyotmH4ktpRPzmQsF,THPT,26,,,
9AB5288CXPvAibaEXe8ptkRJyotmHyOE/oRGlE3h,THPT,28,,,
3CB648A6XPvAibaEXe/JKySBFnJ8Ig3aWxpy6hV1,THPT,26.5,,,
BA12C8CAXPvAibaEXe/JKySBFnJ8Ilo2VBMQbXTT,THPT,24.5,,,
14D74888XPvAibaEXe/JKySBFnJ8IuazFpPWuSJV,THPT,25.5,,,
AB9BD45CXPvAibaEXe/JKySBFnJ8IhGx+HV+WPqn,THPT,29.5,,,
3C63ABFEXPvAibaEXe/JKySBFnJ8Ih+HOeWf0RU7,THPT,26.5,,,
9CBBCB42XPvAibaEXe/JKySBFnJ8Igz0pngNmNY4,THPT,30.5,,,
62F3C56EXPvAibaEXe/JKySBFnJ8Il4SUE5mDkrL,THPT,29.5,,,
72A29258XPvAibaEXe/JKySBFnJ8Ig3pOae8c450,THPT,26.5,,,
DAA05B2CXPvAibaEXe/JKySBFnJ8IgkxHvBufbd3,THPT,26.5,,,
79DEB945XPvAibaEXe/JKySBFnJ8Ik5uAlh/3EsK,THPT,27.5,,,
42D0A860XPvAibaEXe9ETemEVgJcUaCQYWr2vUTm,THPT,26.5,,,
5F6E9AB4XPvAibaEXe9ETemEVgJcUQHVNxMsMzHX,THPT,29.5,,,
427EA068XPvAibaEXe9ETemEVgJcUZNPhd5I9GTp,THPT,26.5,,,
E6F22E54XPvAibaEXe9ETemEVgJcUXOFUFrc2p3j,THPT,30.5,,,
AAB36911XPvAibaEXe9ETemEVgJcURSE4QiYowQq,THPT,28,,,
395D74D2XPvAibaEXe9ETemEVgJcUe5I5YlQTNgV,THPT,27.5,,,
1DA07DD6XPvAibaEXe9ETemEVgJcUartlEuc3ggb,THPT,28.5,,,
EBF3351EXPvAibaEXe/m6K07u0dn9xcpEQ2OKuVX,THPT,27.5,,,
64DB0BFBXPvAibaEXe/m6K07u0dn9wooyQYN5NIM,THPT,26.5,,,
1F7AFD75XPvAibaEXe/m6K07u0dn90TLF1pBsG6z,THPT,24.5,,,
9329D5C8XPvAibaEXe/m6K07u0dn9/J53STFNxye,THPT,26,,,
7ACF155CXPvAibaEXe/m6K07u0dn96OeUHTRay32,THPT,25.5,,,
E7867934XPvAibaEXe/m6K07u0dn9wWx+fJcxyGr,THPT,29.5,,,
17765BD7XPvAibaEXe/m6K07u0dn960+sOVXLQAC,THPT,29.5,,,
DDF19F0EXPvAibaEXe/m6K07u0dn96+TfOaK2Y3s,THPT,29.5,,,
AF155A6FXPvAibaEXe/m6K07u0dn93At9KZvjsJs,THPT,24.5,,,
8080E79DXPvAibaEXe/m6K07u0dn93gyyobNKwwO,THPT,26.5,,,
6318371CXPvAibaEXe+kaKwPBw23VpFNi+IVGdqi,THPT,28,,,
2C6871F9XPvAibaEXe+kaKwPBw23VjKH5MU0eBUS,THPT,28,,,
DAC094B3XPvAibaEXe+kaKwPBw23VuCO3Xk7FDs1,THPT,31,,,
994B9FE1XPvAibaEXe+kaKwPBw23Vvc+7fuQ/q9o,THPT,25.5,,,
87F065A6XPvAibaEXe+kaKwPBw23Vo+HCx0JbRD/,THPT,29.5,,,
555718BAXPvAibaEXe+kaKwPBw23VvNuBIzlekwW,THPT,26.5,,,
9250F23FXPvAibaEXe+kaKwPBw23VqHO2KzH/Jn7,THPT,25.5,,,
D4EEB9A9XPvAibaEXe+kaKwPBw23Vn5JRuOoXSVE,THPT,25.5,,,
D5E4F1BEXPvAibaEXe+kaKwPBw23VpAGyHMum1zT,THPT,28,,,
8D2A88E7XPvAibaEXe9PHS03bFe3hAcrtKIEdRT0,THPT,26.5,,,
CD3C6960XPvAibaEXe9PHS03bFe3hJ+te3HH6t7r,THPT,29.5,,,
CE8991A5XPvAibaEXe9PHS03bFe3hCxaQGyLFpGG,THPT,29.5,,,
4B3F84A7XPvAibaEXe9PHS03bFe3hLVudgsWZCZi,THPT,27,,,
DB0AC055XPvAibaEXe9PHS03bFe3hMQ34CzHv618,THPT,29.5,,,
15A7D2AEXPvAibaEXe9PHS03bFe3hGUB0TSHBdNp,THPT,26,,,
1D7F955BXPvAibaEXe9PHS03bFe3hC3H70o4nKnM,THPT,26.5,,,
C60C029EXPvAibaEXe9PHS03bFe3hB0U1CBijmXk,THPT,28,,,
13BC378CXPvAibaEXe9PHS03bFe3hOp+r3EZYwqv,THPT,28,,,
DB450774XPvAibaEXe9PHS03bFe3hD0Qa+NoDGgz,THPT,26,,,
974A34BBXPvAibaEXe/69hWWh+JD2QCDBWzwCu7W,THPT,26.5,,,
AAAF4E6FXPvAibaEXe/69hWWh+JD2fl5qFtmwTJX,THPT,27,,,
7732A425XPvAibaEXe/69hWWh+JD2XObiYIyKNK8,THPT,26,,,
48E38805XPvAibaEXe/69hWWh+JD2bin651xAydP,THPT,30,,,
A94EF1EDXPvAibaEXe/69hWWh+JD2djEXUqujFHh,THPT,27.5,,,
15A03C0DXPvAibaEXe/69hWWh+JD2UVz3ufk0Hxi,THPT,25.5,,,
221BC6FEXPvAibaEXe/69hWWh+JD2bqvbrEM5LbX,THPT,26.5,,,
BD9DF10DXPvAibaEXe/69hWWh+JD2R3C/1vg+FzD,THPT,26.5,,,
F16C2981XPvAibaEXe/69hWWh+JD2RYQ9Sz2v0vv,THPT,26.5,,,
6BB67E26XPvAibaEXe/1obfbwrsd5+KaZ8cYU5CS,THPT,24.5,,,
B6537A39XPvAibaEXe/1obfbwrsd567T34d/pgJD,THPT,28.5,,,
28A90BB1XPvAibaEXe/1obfbwrsd54YNWSleaWUM,THPT,26,,,
BF8F2C3DXPvAibaEXe/1obfbwrsd5+BlQSMLBT4B,THPT,26.5,,,
D7CA94CBXPvAibaEXe/1obfbwrsd5+Nef5NC1QiZ,THPT,25.5,,,
4F821A3EXPvAibaEXe/1obfbwrsd5xCL6i4aePGe,THPT,28,,,
A24B2C27XPvAibaEXe/1obfbwrsd56035i2mhdxT,THPT,30,,,
DDBAAF32XPvAibaEXe/1obfbwrsd5+ElBG3JmR7a,THPT,31.5,,,
F2EAA359XPvAibaEXe9o/lUQXb5f/wV4mvQVjSu3,THPT,28,,,
B749E20EXPvAibaEXe9o/lUQXb5f/wRzwE7uTRnV,THPT,28,,,
0F633F90XPvAibaEXe9o/lUQXb5f/3wDMeffVbKe,THPT,26,,,
6B1A526FXPvAibaEXe9o/lUQXb5f/xt498AhtMPj,THPT,27.5,,,
9BE47B34XPvAibaEXe9o/lUQXb5f/6AFrO+cRdQd,THPT,26,,,
F13C83A4XPvAibaEXe9o/lUQXb5f/z3txLobU3Az,THPT,27,,,
8B75E939XPvAibaEXe9o/lUQXb5f/9EzN7Db7CwN,THPT,26.5,,,
3EA765DCXPvAibaEXe9o/lUQXb5f/7q7qNtQ6Mps,THPT,28,,,
C12CDC71XPvAibaEXe9o/lUQXb5f/06iCznRQ42T,THPT,28.5,,,
FB8D2A9AXPvAibaEXe/NRwqjPAC0MEeA8v/SJZdH,THPT,27.5,,,
789BE82DXPvAibaEXe/NRwqjPAC0MH7Z5B/F4F4Y,THPT,29,,,
3D2643B9XPvAibaEXe/NRwqjPAC0MGsMXVlpe/gY,THPT,26,,,
E19EB4C6XPvAibaEXe/NRwqjPAC0MPJvB4sJXQSE,THPT,25.5,,,
4F3874ADXPvAibaEXe/NRwqjPAC0MCQKM4dw4P8s,THPT,25,,,
ECBEEED6XPvAibaEXe/NRwqjPAC0MBIgkQqu8fWa,THPT,26.5,,,
25B1BFD3XPvAibaEXe/NRwqjPAC0MJtMPSJVARBI,THPT,24.5,,,
4FB2DE86XPvAibaEXe/NRwqjPAC0MHHi68IwSEnU,THPT,28,,,
0C77106BXPvAibaEXe/NRwqjPAC0MErrzzQBtnng,THPT,30,,,
3AB392AFXPvAibaEXe/NRwqjPAC0MKjf0QSiSLjM,THPT,26.5,,,
06A0EB54XPvAibaEXe/Ko3VBeq65/7o9+P9o0/JJ,THPT,27,,,
6D968F69XPvAibaEXe/Ko3VBeq65/zndFEyy3pth,THPT,26.5,,,
74D36A66XPvAibaEXe/Ko3VBeq65/+nkazv8LvJZ,THPT,28,,,
8235829FXPvAibaEXe/Ko3VBeq65/3ia9x6da3bK,THPT,27.5,,,
2CFCDF1EXPvAibaEXe/Ko3VBeq65//lXR4gHnIeg,THPT,26.5,,,
46B31FBDXPvAibaEXe/Ko3VBeq65/1wxcRApQNK4,THPT,25,,,
F14676F2XPvAibaEXe/Ko3VBeq65/zGUzTY2VaO5,THPT,26,,,
E97308BEXPvAibaEXe/Ko3VBeq65/0VB+cx8DiJ2,THPT,27,,,
0A45A87BXPvAibaEXe8zBeLfIMmoBD2l8CFV9VL9,THPT,27,,,
C3E0BACEXPvAibaEXe8zBeLfIMmoBC4sDuuDh1j3,THPT,25,,,
34127AA0XPvAibaEXe8zBeLfIMmoBGloPnMiEpAC,THPT,26.5,,,
8DA684D2XPvAibaEXe8zBeLfIMmoBKdZoQPMioeR,THPT,29.5,,,
86118223XPvAibaEXe8zBeLfIMmoBG0JCFEfZPsm,THPT,25,,,
8C53D0BDXPvAibaEXe8zBeLfIMmoBPnGRTUU76bE,THPT,32.5,,,
C17539FCXPvAibaEXe8zBeLfIMmoBKS0tTkQyAgB,THPT,29.5,,,
F80E317BXPvAibaEXe8zBeLfIMmoBK+LGS9nQVRX,THPT,26,,,
C9FC6C3FXPvAibaEXe8zBeLfIMmoBNu79kGcYn5S,THPT,26,,,
49952B5CXPvAibaEXe9ajZoptpw4tesLXoK2FsY1,THPT,27.5,,,
BB5855E7XPvAibaEXe9ajZoptpw4tT2lUq2wSryl,THPT,28.5,,,
3F7C96EEXPvAibaEXe9ajZoptpw4tXc9zkloSelJ,THPT,29,,,
481DE724XPvAibaEXe9ajZoptpw4tYL+xpB0N+Kw,THPT,28.5,,,
A475A43CXPvAibaEXe9ajZoptpw4tdAUVze0De+y,THPT,28.5,,,
22B7891BXPvAibaEXe9ajZoptpw4tY9OHdhwO7Pg,CUTUYEN,,,,
38319AE7XPvAibaEXe9ajZoptpw4tZCDFSYBMFfO,THPT,30,,,
7715ED85XPvAibaEXe9ajZoptpw4tWJ/hc0H/zbm,THPT,27.5,,,
6B233653XPvAibaEXe9ajZoptpw4td2khAGLKuwi,THPT,26.5,,,
1FC84966XPvAibaEXe917PYvJ9Jl7VDZwQFe1Zl4,THPT,25,,,
E22A2826XPvAibaEXe917PYvJ9Jl7e9CWUnHZ/H/,THPT,30,,,
13F96CB9XPvAibaEXe917PYvJ9Jl7XQzUIJM8/Gf,THPT,26,,,
459D95B4XPvAibaEXe917PYvJ9Jl7Wd9AnpKnbsp,THPT,24.5,,,
817F3800XPvAibaEXe917PYvJ9Jl7eb63uaMNLRc,THPT,26,,,
08FD27ADXPvAibaEXe917PYvJ9Jl7QAVZU4PwZly,THPT,28,,,
740B481FXPvAibaEXe917PYvJ9Jl7a6h35+/2mQT,THPT,30.5,,,
2CA5878CXPvAibaEXe917PYvJ9Jl7Qom5OVGL12W,THPT,26,,,
0BAF44E0XPvAibaEXe917PYvJ9Jl7VHX1jRhqJF3,THPT,29,,,
E4B876CDXPvAibaEXe917PYvJ9Jl7S6K6QlrRDs9,THPT,29,,,
DC49F60CXPvAibaEXe/ETkXgDMKQ8aY2L2ObTmIE,THPT,28.5,,,
D40CDE12XPvAibaEXe/ETkXgDMKQ8czhXBd4cEQT,THPT,26.5,,,
9ECA4294XPvAibaEXe/ETkXgDMKQ8QjcxS09beRk,THPT,28.5,,,
517F0E78XPvAibaEXe/ETkXgDMKQ8UD1PP6Mi8BH,THPT,30.5,,,
16A42535XPvAibaEXe/ETkXgDMKQ8WMBL+m0he54,THPT,29.5,,,
869ABE5AXPvAibaEXe/ETkXgDMKQ8fKK4ufgBOtT,THPT,32.5,,,
BC13918EXPvAibaEXe/ETkXgDMKQ8ansrxEaXLxi,THPT,27.5,,,
